Set	Size	Count	z-score	Adj. z-score	Adj. p-value	Adj. q-value	List of genes
PID_INTEGRIN_CS_PATHWAY	26	26	2.40948	2.18527	0.0144345	0.163634	ITGA5(2.07393); ITGB6(1.88504); ITGA2(1.27534); ITGA1(1.19382); ITGA7(1.12278); ITGAL(0.911597); ITGA4(0.564047); ITGAV(0.518723); ITGA6(0.349575); ITGA9(0.2725); ITGAX(0.249862); ITGB8(0.238231); ITGAD(0.234044); ITGB4(0.219561); ITGA10(0.175335); ITGB2(0.117953); ITGA8(0.0681786); ITGAE(0.047003); ITGB5(-0.0194629); ITGB7(-0.0781546); ITGA11(-0.309905); ITGB3(-0.384805); ITGAM(-0.415914); ITGB1(-0.450603); ITGA3(-0.520469); ITGA2B(-0.948621); 
REACTOME_SIGNALING_BY_ERBB2	101	95	2.88801	2.17764	0.0147165	0.165329	ADCY5(3.5033); CHUK(3.12509); PLCG1(2.98526); ADCY7(1.99045); TRIB3(1.81637); CDKN1A(1.74766); PRKACG(1.68966); PRKACB(1.62241); ADCY2(1.42049); NRG2(1.3673); MTOR(1.19005); CDKN1B(1.10316); PRKAR1A(1.03984); GAB1(1.015); AKT2(0.947394); USP8(0.831811); ADCY8(0.812018); FOXO1(0.803782); PIK3CA(0.740005); CDK1(0.737894); ITPR3(0.673188); AKT3(0.573376); NRG1(0.493201); HBEGF(0.482001); HSP90AA1(0.479974); MDM2(0.467804); KRAS(0.463773); MATK(0.427217); BAD(0.371919); NR4A1(0.359736); RAF1(0.339154); MAPK1(0.309425); ADCY1(0.285626); ERBB4(0.248466); PTEN(0.243819); GRB7(0.174658); PHLPP1(0.139601); FYN(0.138675); PRKACA(0.12355); RPS27A(0.114955); ERBB2(0.0937822); SOS1(0.064445); ADCY9(0.054446); BTC(0.0533411); NRG4(0.0272441); PIK3R1(0.00731657); ITPR2(-0.00827742); EGFR(-0.0142748); MAPK3(-0.0304901); PDE1A(-0.0307034); UBA52(-0.0398633); RICTOR(-0.0489277); AKT1S1(-0.0610313); CALM1(-0.0768233); MLST8(-0.100501); CUL5(-0.104608); FOXO3(-0.156345); THEM4(-0.166791); SRC(-0.173469); CAMK4(-0.184528); CDC37(-0.188861); ADCY6(-0.205425); YWHAB(-0.207316); PRKCA(-0.252342); PRKCE(-0.256039); CASP9(-0.288016); PRKCG(-0.311495); CALM2(-0.314883); SHC1(-0.334932); PRKCD(-0.387895); MAPKAP1(-0.401045); MAP2K1(-0.412275); CREB1(-0.460857); PDE1B(-0.474676); STUB1(-0.493996); PRKAR2B(-0.504527); ADCY4(-0.520086); ADRBK1(-0.601564); HRAS(-0.621128); YES1(-0.627177); MAP2K2(-0.653862); GSK3A(-0.668364); ADCY3(-0.700655); RNF41(-0.755433); PRKAR2A(-0.760574); AKT1(-0.790536); ERBB3(-0.817871); EGF(-0.825972); TSC2(-0.834773); EREG(-0.84991); NRAS(-0.876622); CALM3(-0.990701); GRB2(-1.04866); RPS6KB2(-1.06304); PDPK1(-1.51315); 
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	44	37	2.42425	2.16907	0.0150385	0.166234	NOTCH4(2.79768); E2F3(2.38499); NOTCH2(1.63191); TP53(1.53647); TNRC6C(1.15009); KAT2A(0.994962); SNW1(0.94403); MAML1(0.843113); TMED2(0.805894); CCND1(0.763817); TFDP1(0.715676); KAT2B(0.684851); ATP2A3(0.658937); JUN(0.448917); MAML3(0.254355); TNRC6B(0.184972); MAML2(0.176378); POGLUT1(0.0972169); ST3GAL6(0.0266296); LFNG(-0.0314203); TNRC6A(-0.0515641); RBPJ(-0.081855); EP300(-0.192803); E2F1(-0.193662); MFNG(-0.220915); CREBBP(-0.268873); MOV10(-0.27739); NOTCH3(-0.283643); FURIN(-0.312123); RAB6A(-0.404823); POFUT1(-0.468711); ATP2A2(-0.520829); B4GALT1(-0.532616); RFNG(-0.65746); ST3GAL3(-0.672414); SEL1L(-0.76869); ATP2A1(-1.2934); 
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING	13	13	1.80297	2.17193	0.0149304	0.166234	AGER(2.57236); APP(1.24739); S100A12(1.24456); S100B(1.12866); HMGB1(0.9667); CAPZA2(0.468183); MAPK1(0.309425); MAPK3(-0.0304901); SAA1(-0.0362166); DDOST(-0.0989193); CAPZA1(-0.32429); LGALS3(-0.68542); PRKCSH(-0.809924); 
ST_TUMOR_NECROSIS_FACTOR_PATHWAY	29	28	1.88964	2.16045	0.0153688	0.16797	TNF(3.33523); NFKBIL1(3.29896); NFKB1(1.9519); MAP3K3(1.61298); NFKB2(1.28873); MAP3K7(0.604395); TNFAIP3(0.543564); JUN(0.448917); MAP2K4(0.366351); TONSL(0.267384); AGFG1(0.241442); TRAF2(0.140714); FADD(0.108944); BIRC3(0.102823); BIRC2(0.060286); RALBP1(0.0592491); CASP3(-0.00632708); BAG4(-0.0626776); TRADD(-0.172704); NR2C2(-0.173117); TNFRSF1B(-0.396578); NFKBIE(-0.498893); CASP8(-0.562284); NFKBIA(-0.721273); TNFRSF1A(-0.748701); RIPK1(-0.768685); CFLAR(-0.824246); NFKBIB(-0.902987); 
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	12	12	1.80517	2.16079	0.0153558	0.16797	CHUK(3.12509); CDKN1A(1.74766); CDKN1B(1.10316); AKT2(0.947394); AKT3(0.573376); MDM2(0.467804); BAD(0.371919); AKT1S1(-0.0610313); CASP9(-0.288016); GSK3A(-0.668364); AKT1(-0.790536); TSC2(-0.834773); 
REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	168	162	2.59205	2.13297	0.0164637	0.176985	PPARG(6.19906); AGPAT1(2.71978); ACADS(2.69363); HSD17B12(2.45955); ACSL1(2.41226); LPIN3(2.31175); PLIN2(2.2159); DGAT1(2.04619); CTGF(1.95685); WWTR1(1.82729); TRIB3(1.81637); FADS1(1.64122); AGPAT6(1.61962); MED27(1.50779); ALAS1(1.49083); AGPAT3(1.44629); GRHL1(1.39309); AGPAT9(1.27674); RORA(1.2735); ARNTL(1.12404); LCLAT1(0.958542); MED13L(0.917419); MED10(0.913753); MED30(0.884811); BDH1(0.846807); GPAM(0.842894); ELOVL5(0.816075); ACACB(0.778759); SREBF1(0.757962); NPAS2(0.731737); ACADVL(0.718138); ACACA(0.700376); NFYA(0.649847); CYP7A1(0.631824); TNFRSF21(0.621774); TIAM2(0.608583); TEAD1(0.605333); G0S2(0.54499); PRKAG2(0.511976); MCEE(0.497179); ABCA1(0.484578); ESRRA(0.477705); AGPAT2(0.449598); NCOA6(0.443338); HDAC3(0.381049); ELOVL3(0.37082); ECHS1(0.345799); TEAD2(0.331931); ELOVL2(0.304769); PPARGC1B(0.288696); MED1(0.242362); NCOR2(0.213472); SLC25A1(0.208092); TEAD4(0.202616); TEAD3(0.201894); MED6(0.176082); MED25(0.161161); ACADL(0.154632); YAP1(0.153912); PCCA(0.138651); FDFT1(0.113774); MED23(0.0560403); CYP1A1(0.053758); APOA2(0.0509076); CPT1A(0.0469112); PPARA(0.0408768); NCOR1(0.0333043); PCCB(-0.00768357); ACOX1(-0.00988122); AGT(-0.0383849); HMGCS1(-0.0406153); LPCAT4(-0.0763836); HMGCR(-0.0964064); ACSL3(-0.0978435); ME1(-0.0990335); MED26(-0.100398); MED9(-0.117973); HMGCS2(-0.127009); CD36(-0.129199); CDK8(-0.137162); HADHA(-0.143124); MED24(-0.180365); EP300(-0.192803); PRKAB2(-0.1967); ELOVL4(-0.210134); TECR(-0.226362); ELOVL6(-0.230064); NCOA1(-0.247813); AGPAT4(-0.252519); MED31(-0.264158); CREBBP(-0.268873); FASN(-0.269099); HADHB(-0.285794); ANKRD1(-0.293559); PPARGC1A(-0.297834); PRKAA2(-0.300616); UGT1A9(-0.303307); SULT2A1(-0.304554); MUT(-0.313178); SMARCD3(-0.315161); OXCT1(-0.319537); FABP1(-0.323528); APOA5(-0.329984); ANGPTL4(-0.338038); CLOCK(-0.344986); APOA1(-0.358428); ACSL5(-0.36087); MED17(-0.361232); MED15(-0.363682); GPD2(-0.366969); NRF1(-0.367891); TXNRD1(-0.387838); ABCB4(-0.389508); NCOA2(-0.395748); LPIN1(-0.398748); MED8(-0.407429); ACAT1(-0.424259); PEX11A(-0.441054); SLC27A1(-0.441682); ELOVL1(-0.447925); MED7(-0.45096); MED4(-0.45441); LPCAT1(-0.456697); CCNC(-0.456895); NR1D1(-0.458396); HMGCL(-0.463844); GLIPR1(-0.470113); FHL2(-0.470794); DECR1(-0.494481); CYP4A11(-0.496586); LPIN2(-0.541205); ACLY(-0.547139); NCOA3(-0.55491); AGPAT5(-0.567006); SREBF2(-0.57948); GPD1L(-0.582971); ACSL6(-0.585636); GPAT2(-0.586649); GPD1(-0.609345); RXRA(-0.626136); MED11(-0.635047); NFYB(-0.644103); ELOVL7(-0.694455); MED29(-0.705614); SIN3B(-0.722453); CDK19(-0.736339); MED18(-0.740994); CPT1B(-0.747399); CPT2(-0.754645); MED22(-0.759343); HADH(-0.761054); SLC25A20(-0.771156); MED16(-0.81847); TBL1XR1(-0.845503); ECI1(-0.869745); MED21(-0.94203); ACADM(-0.942321); SIN3A(-0.984191); MED20(-0.996013); TGS1(-1.10328); DGAT2(-1.17177); MED19(-1.19111); 
PID_INTEGRIN_A9B1_PATHWAY	25	22	2.12416	2.11832	0.0170741	0.181978	BCAR1(3.39143); VCAM1(1.76152); TGM2(1.08517); ADAM8(1.02125); PXN(0.494265); SPP1(0.415318); PAOX(0.314383); ADAM12(0.288958); TNC(0.287585); ITGA9(0.2725); F13A1(0.23993); FN1(0.237149); ADAM15(0.110172); NOS2(-0.0432603); SRC(-0.173469); RAC1(-0.183129); VEGFA(-0.196135); ADAM2(-0.221473); KCNJ15(-0.269653); VEGFC(-0.438216); CSF2(-0.449999); ITGB1(-0.450603); 
REACTOME_CGMP_EFFECTS	19	19	2.87866	2.11636	0.0171569	0.181978	PDE2A(3.60632); PRKG1(1.39787); PDE3A(1.21114); PDE10A(0.972769); KCNMB1(0.959659); KCNMB3(0.888893); PDE9A(0.552165); PDE6A(0.480083); PDE11A(0.285428); PDE3B(0.0592482); PDE6B(0.0452823); PDE1A(-0.0307034); KCNMB4(-0.26669); MRVI1(-0.269792); KCNMB2(-0.372239); PDE1B(-0.474676); PRKG2(-0.666102); PDE6G(-0.701453); PDE5A(-0.704461); 
KEGG_NOTCH_SIGNALING_PATHWAY	47	47	2.113	2.10855	0.0174919	0.183297	NOTCH4(2.79768); NOTCH2(1.63191); DLL1(1.56531); DVL3(1.4001); DLL4(1.3513); NUMB(1.21122); RBPJL(1.08759); PTCRA(1.06497); DTX3(1.02538); KAT2A(0.994962); DTX1(0.981985); SNW1(0.94403); MAML1(0.843113); DVL2(0.710451); NCSTN(0.706382); KAT2B(0.684851); PSENEN(0.673298); JAG1(0.503343); MAML3(0.254355); NCOR2(0.213472); MAML2(0.176378); NUMBL(0.153996); JAG2(0.0414479); DTX4(-0.00461979); DLL3(-0.0259597); LFNG(-0.0314203); NOTCH1(-0.0398386); RBPJ(-0.081855); DTX3L(-0.135879); HES1(-0.164501); EP300(-0.192803); CIR1(-0.208071); MFNG(-0.220915); CREBBP(-0.268873); NOTCH3(-0.283643); PSEN1(-0.318482); CTBP2(-0.396362); ADAM17(-0.538836); DTX2(-0.544113); CTBP1(-0.643123); RFNG(-0.65746); APH1A(-0.672051); HDAC1(-0.782723); HDAC2(-0.810707); PSEN2(-0.845074); HES5(-0.943883); DVL1(-1.46403); 
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_GLUCAGON_LIKE_PEPTIDE1	43	41	2.24367	2.10703	0.0175573	0.183297	ADCY5(3.5033); KCNS3(2.45263); GLP1R(2.39336); PRKACG(1.68966); PRKACB(1.62241); KCNC2(1.62001); GNB4(1.23463); PRKAR1A(1.03984); ADCY8(0.812018); GNG2(0.704421); ITPR3(0.673188); GNGT2(0.634312); GNG13(0.560113); RAPGEF4(0.44438); GNG10(0.295593); GNB3(0.28953); PRKACA(0.12355); GNAS(0.09822); ITPR2(-0.00827742); GNGT1(-0.0249133); GNG11(-0.0269033); GNG5(-0.140509); IQGAP1(-0.193064); ADCY6(-0.205425); GNB5(-0.226998); GCG(-0.260091); RAPGEF3(-0.335265); RAP1A(-0.385497); KCNB1(-0.409089); GNG7(-0.416436); PRKAR2B(-0.504527); GNG3(-0.515991); KCNG2(-0.546655); RAP1B(-0.60113); GNG4(-0.627685); GNB2(-0.709362); PRKAR2A(-0.760574); GNG8(-0.762539); AKAP5(-0.773149); GNB1(-0.817714); GNG12(-0.882543); 
SA_G1_AND_S_PHASES	15	15	1.34932	2.09876	0.0179192	0.183307	CDKN2A(3.39313); CDKN1A(1.74766); TP53(1.53647); CDKN1B(1.10316); CCND1(0.763817); MDM2(0.467804); CFL1(0.0855859); ARF1(0.0498803); E2F1(-0.193662); CDK4(-0.240174); CDK2(-0.384698); E2F2(-0.41864); ARF3(-0.469942); NXT1(-0.500831); PRB1(-0.77721); 
REACTOME_PHOSPHOLIPID_METABOLISM	198	184	2.73317	2.10177	0.0177868	0.183307	NEU1(2.85597); PNPLA3(2.82597); SLC44A4(2.8198); AGPAT1(2.71978); VAPA(2.61144); LPIN3(2.31175); MTMR3(2.17722); MTMR7(2.15457); EPT1(2.14151); DGAT1(2.04619); PLD3(1.74256); MTMR4(1.65564); AGPAT6(1.61962); SLC44A3(1.61001); AGPAT3(1.44629); AGPAT9(1.27674); GBA3(1.2644); PLBD1(1.13692); GLB1(1.13679); FIG4(1.10932); PIP5K1B(1.10237); ARSG(1.10208); GNPAT(0.962597); LCLAT1(0.958542); LPCAT3(0.95153); PIK3R3(0.898754); GBA2(0.862767); GPAM(0.842894); PLA2G2E(0.818092); GBA(0.766508); PLA2G5(0.764616); PNPLA2(0.753436); CHAT(0.751153); PLA2G12A(0.743292); PIK3CA(0.740005); PIK3CD(0.669393); MTMR2(0.659132); PTDSS1(0.615962); PIP5K1C(0.605947); PLA2G4F(0.601743); PI4KB(0.597354); PHOSPHO1(0.58721); KDSR(0.526798); MBOAT7(0.524167); SGPL1(0.516524); CERK(0.477777); SGMS1(0.473962); AGPAT2(0.449598); SACM1L(0.448862); GAL3ST1(0.447472); PIK3C2G(0.434548); PIK3C2B(0.429071); LPCAT2(0.410938); PLA2G2F(0.369176); ASAH1(0.364028); DEGS1(0.363838); PLA2G4A(0.351862); SMPD2(0.32707); ASAH2(0.30277); GPCPD1(0.28959); PIP4K2B(0.287628); PLA2G3(0.280134); PLA2G6(0.275893); PI4K2A(0.273091); SMPD3(0.26771); ETNK2(0.258335); INPP4B(0.251196); PIK3CG(0.249449); INPP5J(0.246225); PTEN(0.243819); PEMT(0.23177); PPAP2B(0.230213); PLA2G4D(0.227423); PI4K2B(0.218445); SPTLC2(0.20041); CERS6(0.159548); PLA2G2D(0.150059); ARSJ(0.140168); PLD6(0.122279); UGCG(0.107921); ARSB(0.0927018); MTMR14(0.0588609); ARF1(0.0498803); PRKD1(0.0494473); SYNJ2(0.0453476); VAC14(0.0346104); SGMS2(0.0213624); PIK3R1(0.00731657); PGS1(-0.0160923); PIK3C2A(-0.062318); CERS4(-0.066573); LPCAT4(-0.0763836); LPGAT1(-0.103899); PIK3R6(-0.118371); SPTLC1(-0.125024); PSAP(-0.13124); MBOAT1(-0.135562); HADHA(-0.143124); ARSI(-0.149886); INPP5E(-0.154554); PITPNB(-0.15795); NEU3(-0.161963); PIK3R2(-0.167603); SPHK1(-0.173175); CSNK1G2(-0.181067); PIK3C3(-0.189488); PCYT1A(-0.18954); CERS3(-0.209503); HEXA(-0.218241); PI4KA(-0.238343); AGPAT4(-0.252519); CDS1(-0.253025); HEXB(-0.277701); SUMF2(-0.28114); HADHB(-0.285794); SLC44A2(-0.290606); CDIPT(-0.299148); ARSA(-0.299265); GM2A(-0.311333); PLA2G4C(-0.331339); ACER1(-0.335706); ACHE(-0.338087); PIK3CB(-0.339528); CHPT1(-0.341822); CEPT1(-0.364833); TPTE2(-0.366593); PNPLA8(-0.369368); DEGS2(-0.375728); COL4A3BP(-0.376528); LPIN1(-0.398748); CHKA(-0.428514); LPCAT1(-0.456697); CERS2(-0.457357); GALC(-0.462122); ARF3(-0.469942); PLA2G2A(-0.471623); VAPB(-0.478028); NEU2(-0.498101); CERS5(-0.498585); PLA2G16(-0.518693); SGPP1(-0.521022); PIK3R5(-0.528945); INPP5K(-0.532764); ACER2(-0.535424); PPM1L(-0.53544); LPIN2(-0.541205); PPAP2C(-0.555881); CRLS1(-0.566092); AGPAT5(-0.567006); SLC44A5(-0.577189); ETNK1(-0.577753); GPD1L(-0.582971); SMPD1(-0.585799); GPAT2(-0.586649); GPD1(-0.609345); CDS2(-0.660387); MTMR6(-0.667365); SPHK2(-0.67026); PTDSS2(-0.683509); PPAP2A(-0.68713); PLA2G1B(-0.692082); MGLL(-0.702968); SUMF1(-0.712812); SGPP2(-0.743595); ARSK(-0.746956); NEU4(-0.752606); INPPL1(-0.759183); CHKB(-0.778323); MBOAT2(-0.796667); OSBP(-0.858666); SLC44A1(-0.871542); PLD2(-0.881664); CTSA(-0.893361); SYNJ1(-0.918057); SMPD4(-0.918371); PIP4K2A(-0.924845); PLD1(-1.00477); PIK3R4(-1.07097); PIKFYVE(-1.09053); PLD4(-1.10032); ENPP7(-1.1306); ACER3(-1.16682); DGAT2(-1.17177); PLA2G10(-1.26822); 
REACTOME_TCR_SIGNALING	54	50	2.36698	2.06376	0.0195202	0.1979	HLA-DRB1(4.31249); HLA-DQA1(4.05141); CHUK(3.12509); PLCG1(2.98526); HLA-DQA2(1.53103); CD3D(1.13638); CD3G(1.10878); FYB(0.988987); TMEM189-UBE2V1(0.84584); PRKCQ(0.81822); PIK3CA(0.740005); RELA(0.681872); MAP3K7(0.604395); TRAT1(0.556882); GRAP2(0.553834); PTEN(0.243819); CD247(0.240604); HLA-DRB3(0.191903); CD4(0.149542); CARD11(0.0982007); PIK3R1(0.00731657); ENAH(-0.0607125); HLA-DPA1(-0.071606); CSK(-0.0994637); PIK3R2(-0.167603); CD3E(-0.2109); TAB2(-0.238299); ITK(-0.256617); ZAP70(-0.297587); VASP(-0.330542); RIPK2(-0.336862); PIK3CB(-0.339528); PTPRC(-0.34449); PAK1(-0.36475); LCP2(-0.387134); LCK(-0.408935); EVL(-0.489704); UBE2N(-0.494611); HLA-DPB1(-0.50565); MALT1(-0.596978); LAT(-0.608179); PAG1(-0.642074); LOC646626(-0.64228); NFKBIA(-0.721273); IKBKB(-0.731113); TRAF6(-0.736632); BCL10(-0.768258); PAK2(-0.777755); NCK1(-1.01167); PDPK1(-1.51315); 
PID_NFKAPPAB_CANONICAL_PATHWAY	23	22	2.1108	2.06033	0.0196833	0.197944	TNF(3.33523); CHUK(3.12509); UBE2D3(3.10699); NFKB1(1.9519); SSPO(1.27725); RELA(0.681872); TNFAIP3(0.543564); ERC1(0.369775); BIRC2(0.060286); XPO1(-0.0928884); PRKCA(-0.252342); RAN(-0.300594); RIPK2(-0.336862); NOD2(-0.556384); MALT1(-0.596978); ATM(-0.644324); CYLD(-0.683219); NFKBIA(-0.721273); IKBKB(-0.731113); TRAF6(-0.736632); TNFRSF1A(-0.748701); BCL10(-0.768258); 
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	41	41	1.92695	2.04579	0.0203884	0.203395	RARS(3.88246); PSTK(2.47513); CARS(2.41951); VARS(1.86008); LARS2(1.61769); SARS(1.48463); WARS2(1.39157); IARS(0.972229); GARS(0.948822); KARS(0.938618); FARSA(0.689331); NARS(0.50697); WARS(0.492215); PARS2(0.412462); MTFMT(0.364791); LARS(0.35086); VARS2(0.309546); HARS2(0.264075); HARS(0.213567); FARS2(0.0372035); IARS2(0.000789236); CARS2(-0.0387409); DARS2(-0.0396261); YARS2(-0.0599696); TARSL2(-0.0688885); DARS(-0.195135); SEPSECS(-0.23612); YARS(-0.475782); MARS(-0.507457); EARS2(-0.533796); RARS2(-0.558273); TARS2(-0.601322); FARSB(-0.626207); NARS2(-0.699289); SARS2(-0.896766); QARS(-0.945456); EPRS(-0.964396); MARS2(-1.02767); AARS2(-1.03749); TARS(-1.05611); AARS(-1.31176); 
PID_IL2_STAT5_PATHWAY	30	28	1.97555	2.03154	0.0211002	0.208825	LTA(3.33958); CCND2(2.29206); CDK6(1.91294); IL2(1.5333); STAT5A(1.50319); PIK3CA(0.740005); ELF1(0.635395); CCNA2(0.38542); BCL2(0.381764); PTPN11(0.294662); IL4(0.289637); MYC(0.242354); SOS1(0.064445); PIK3R1(0.00731657); PRF1(-0.0268675); JAK1(-0.0388403); GAB2(-0.0629173); IL2RA(-0.175379); FASLG(-0.18886); STAT5B(-0.252649); CCND3(-0.32174); SHC1(-0.334932); JAK3(-0.354484); IL2RB(-0.373678); LCK(-0.408935); SP1(-0.984785); BCL2L1(-0.985854); GRB2(-1.04866); 
KEGG_PANCREATIC_CANCER	70	66	2.36432	2.01733	0.0218306	0.214353	CDKN2A(3.39313); CHUK(3.12509); E2F3(2.38499); NFKB1(1.9519); CDK6(1.91294); TP53(1.53647); STAT3(1.33411); BRAF(1.3052); BRCA2(1.07326); AKT2(0.947394); PIK3R3(0.898754); RAC2(0.882913); CCND1(0.763817); PIK3CA(0.740005); RALGDS(0.689089); RELA(0.681872); PIK3CD(0.669393); AKT3(0.573376); KRAS(0.463773); TGFBR2(0.436012); VEGFB(0.39314); BAD(0.371919); RAF1(0.339154); MAPK1(0.309425); PIK3CG(0.249449); MAPK10(0.215418); ERBB2(0.0937822); RALBP1(0.0592491); PIK3R1(0.00731657); EGFR(-0.0142748); MAPK9(-0.0285666); MAPK3(-0.0304901); JAK1(-0.0388403); CDC42(-0.144984); TGFA(-0.156537); PIK3R2(-0.167603); RAC1(-0.183129); E2F1(-0.193662); VEGFA(-0.196135); SMAD4(-0.199858); CDK4(-0.240174); PGF(-0.241271); MAPK8(-0.277255); CASP9(-0.288016); STAT1(-0.302649); RB1(-0.304368); SMAD3(-0.321146); PIK3CB(-0.339528); RAD51(-0.365217); TGFB2(-0.384374); RALB(-0.389093); MAP2K1(-0.412275); E2F2(-0.41864); VEGFC(-0.438216); RALA(-0.471177); PIK3R5(-0.528945); TGFB3(-0.643113); IKBKB(-0.731113); TGFB1(-0.744477); AKT1(-0.790536); RAC3(-0.81868); EGF(-0.825972); BCL2L1(-0.985854); TGFBR1(-0.987729); PLD1(-1.00477); SMAD2(-1.15056); 
BIOCARTA_AKAP95_PATHWAY	12	12	1.54951	2.01433	0.0219876	0.214353	PRKACG(1.68966); PRKACB(1.62241); NCAPD2(1.25705); AKAP8(1.22253); DDX5(0.911301); PRKAG1(0.86598); CDK1(0.737894); PPP1CA(-0.413523); CCNB1(-0.465449); PRKAR2B(-0.504527); PRKAR2A(-0.760574); PPP2CA(-0.863361); 
PID_RB_1PATHWAY	65	62	2.02283	2.01373	0.0220191	0.214353	PPARG(6.19906); CDKN2A(3.39313); E2F3(2.38499); CCND2(2.29206); CDK6(1.91294); CDKN1A(1.74766); MYOD1(1.52412); MITF(1.10445); CDKN1B(1.10316); CBX4(0.886046); MET(0.793054); CCND1(0.763817); TFDP1(0.715676); ELF1(0.635395); ABL1(0.502895); MDM2(0.467804); JUN(0.448917); CCNA2(0.38542); HDAC3(0.381049); RUNX2(0.354886); RAF1(0.339154); MAPK11(0.103126); SKP2(0.0173316); MAPK9(-0.0285666); BRD2(-0.0307236); CEBPB(-0.0360662); CKM(-0.0626503); RBP2(-0.0835572); EP300(-0.192803); E2F1(-0.193662); MEF2C(-0.197942); DNMT1(-0.211859); CDK4(-0.240174); RBBP4(-0.246385); CREBBP(-0.268873); E2F4(-0.28412); ATF2(-0.303988); RB1(-0.304368); CCND3(-0.32174); GSC(-0.333369); PAX3(-0.345388); SMARCA4(-0.348583); TGFB2(-0.384374); CDK2(-0.384698); E2F2(-0.41864); CEBPA(-0.423007); SMARCB1(-0.435537); CSF2(-0.449999); UBTF(-0.515161); CEBPD(-0.529873); SFTPD(-0.618331); ATF7(-0.628673); CTBP1(-0.643123); TBP(-0.647931); CCNE1(-0.683835); BGLAP(-0.753952); HDAC1(-0.782723); MAPK14(-0.821728); SPI1(-0.855155); PPP2CA(-0.863361); AATF(-0.870332); SIRT1(-1.03912); 
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	38	35	2.31689	2.0162	0.0218898	0.214353	CHUK(3.12509); TRIB3(1.81637); CDKN1A(1.74766); NRG2(1.3673); MTOR(1.19005); CDKN1B(1.10316); AKT2(0.947394); FOXO1(0.803782); PIK3CA(0.740005); AKT3(0.573376); NRG1(0.493201); HBEGF(0.482001); MDM2(0.467804); BAD(0.371919); NR4A1(0.359736); ERBB4(0.248466); PTEN(0.243819); PHLPP1(0.139601); BTC(0.0533411); NRG4(0.0272441); PIK3R1(0.00731657); RICTOR(-0.0489277); AKT1S1(-0.0610313); MLST8(-0.100501); FOXO3(-0.156345); THEM4(-0.166791); CASP9(-0.288016); MAPKAP1(-0.401045); CREB1(-0.460857); GSK3A(-0.668364); AKT1(-0.790536); TSC2(-0.834773); EREG(-0.84991); RPS6KB2(-1.06304); PDPK1(-1.51315); 
KEGG_THYROID_CANCER	29	29	13.7773	2.00304	0.0225867	0.215005	PPARG(6.19906); TCF7L2(6.0905); TP53(1.53647); BRAF(1.3052); CCND1(0.763817); RET(0.574576); KRAS(0.463773); MAPK1(0.309425); MYC(0.242354); TPR(-0.0193705); MAPK3(-0.0304901); RXRB(-0.105053); TCF7L1(-0.180043); RXRG(-0.20311); PAX8(-0.231541); CDH1(-0.309323); CTNNB1(-0.32477); NCOA4(-0.341384); MAP2K1(-0.412275); TFG(-0.509698); HRAS(-0.621128); RXRA(-0.626136); TPM3(-0.645342); MAP2K2(-0.653862); NTRK1(-0.721864); LEF1(-0.773523); CCDC6(-0.822357); NRAS(-0.876622); TCF7(-0.995661); 
ST_G_ALPHA_S_PATHWAY	16	16	2.15461	1.99775	0.0228717	0.216068	CFB(3.35729); BRAF(1.3052); TERF2IP(0.993387); SNX13(0.96476); ASAH1(0.364028); RAF1(0.339154); MAPK1(0.309425); CREB3(0.14923); CREB5(0.128447); BFAR(0.0195523); RASGRF2(-0.000688702); SRC(-0.173469); CAMP(-0.316121); RAPGEF3(-0.335265); CREB1(-0.460857); GAST(-0.598924); 
